Land,Year,Series,Value
Austria,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),67.3281
Austria,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),67.3411
Azerbaijan,2005,Land area (thousand hectares),8266
Azerbaijan,2005,Arable land (thousand hectares),1843.2
Azerbaijan,2005,Permanent crops (thousand hectares),221.5
Azerbaijan,2005,Forest cover (thousand hectares),877.2
Azerbaijan,2005,Arable land (% of total land area),22.2986
Azerbaijan,2005,Permanent crops (% of total land area),2.6797
Azerbaijan,2005,Forest cover (% of total land area),10.6121
Azerbaijan,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),29.4551
Azerbaijan,2010,Land area (thousand hectares),8265.6
Azerbaijan,2010,Arable land (thousand hectares),1884.1
Azerbaijan,2010,Permanent crops (thousand hectares),227.4
Azerbaijan,2010,Forest cover (thousand hectares),1008.3
Azerbaijan,2010,Arable land (% of total land area),22.7945
Azerbaijan,2010,Permanent crops (% of total land area),2.7512
Azerbaijan,2010,Forest cover (% of total land area),12.1988
Azerbaijan,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),36.6149
Azerbaijan,2017,Land area (thousand hectares),8266.2
Azerbaijan,2017,Arable land (thousand hectares),2094.5
Azerbaijan,2017,Permanent crops (thousand hectares),246.8
Azerbaijan,2017,Forest cover (thousand hectares),1139.4
Azerbaijan,2017,Arable land (% of total land area),25.3381
Azerbaijan,2017,Permanent crops (% of total land area),2.9857
Azerbaijan,2017,Forest cover (% of total land area),13.7838
Azerbaijan,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),36.6149
Azerbaijan,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),36.6149
Bahamas,2005,Land area (thousand hectares),1001
Bahamas,2005,Arable land (thousand hectares),7
Bahamas,2005,Permanent crops (thousand hectares),4
Bahamas,2005,Forest cover (thousand hectares),515
Bahamas,2005,Arable land (% of total land area),0.6993
Bahamas,2005,Permanent crops (% of total land area),0.3996
Bahamas,2005,Forest cover (% of total land area),51.4486
Bahamas,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),12.3841
Bahamas,2010,Land area (thousand hectares),1001
Bahamas,2010,Arable land (thousand hectares),9
Bahamas,2010,Permanent crops (thousand hectares),4
Bahamas,2010,Forest cover (thousand hectares),515
Bahamas,2010,Arable land (% of total land area),0.8991
Bahamas,2010,Permanent crops (% of total land area),0.3996
Bahamas,2010,Forest cover (% of total land area),51.4486
Bahamas,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),12.4491
Bahamas,2017,Land area (thousand hectares),1001
Bahamas,2017,Arable land (thousand hectares),8
Bahamas,2017,Permanent crops (thousand hectares),4
Bahamas,2017,Forest cover (thousand hectares),515
Bahamas,2017,Arable land (% of total land area),0.7992
Bahamas,2017,Permanent crops (% of total land area),0.3996
Bahamas,2017,Forest cover (% of total land area),51.4486
Bahamas,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),29.2093
Bahamas,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),29.2093
Bahrain,2005,Land area (thousand hectares),74
Bahrain,2005,Arable land (thousand hectares),1.5
Bahrain,2005,Permanent crops (thousand hectares),3.2
Bahrain,2005,Forest cover (thousand hectares),0.448
Bahrain,2005,Arable land (% of total land area),2.027
Bahrain,2005,Permanent crops (% of total land area),4.3243
Bahrain,2005,Forest cover (% of total land area),0.6054
Bahrain,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0
Bahrain,2010,Land area (thousand hectares),76.2
Bahrain,2010,Arable land (thousand hectares),1.6
Bahrain,2010,Permanent crops (thousand hectares),3
Bahrain,2010,Forest cover (thousand hectares),0.526
Bahrain,2010,Arable land (% of total land area),2.0997
Bahrain,2010,Permanent crops (% of total land area),3.937
Bahrain,2010,Forest cover (% of total land area),0.6903
Bahrain,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),0
Bahrain,2017,Land area (thousand hectares),78
Bahrain,2017,Arable land (thousand hectares),1.6
Bahrain,2017,Permanent crops (thousand hectares),3
Bahrain,2017,Forest cover (thousand hectares),0.604
Bahrain,2017,Arable land (% of total land area),2.0513
Bahrain,2017,Permanent crops (% of total land area),3.8462
Bahrain,2017,Forest cover (% of total land area),0.7744
Bahrain,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),0
Bahrain,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),0
Bangladesh,2005,Land area (thousand hectares),13017
Bangladesh,2005,Arable land (thousand hectares),7911
Bangladesh,2005,Permanent crops (thousand hectares),800
Bangladesh,2005,Forest cover (thousand hectares),1455
Bangladesh,2005,Arable land (% of total land area),60.7744
Bangladesh,2005,Permanent crops (% of total land area),6.1458
Bangladesh,2005,Forest cover (% of total land area),11.1777
Bangladesh,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),33.5499
Bangladesh,2010,Land area (thousand hectares),13017
Bangladesh,2010,Arable land (thousand hectares),7791
Bangladesh,2010,Permanent crops (thousand hectares),850
Bangladesh,2010,Forest cover (thousand hectares),1442
Bangladesh,2010,Arable land (% of total land area),59.8525
Bangladesh,2010,Permanent crops (% of total land area),6.5299
Bangladesh,2010,Forest cover (% of total land area),11.0778
Bangladesh,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),43.632
Bangladesh,2017,Land area (thousand hectares),13017
Bangladesh,2017,Arable land (thousand hectares),7697.33
Bangladesh,2017,Permanent crops (thousand hectares),890
Bangladesh,2017,Forest cover (thousand hectares),1429
Bangladesh,2017,Arable land (% of total land area),59.1329
Bangladesh,2017,Permanent crops (% of total land area),6.8372
Bangladesh,2017,Forest cover (% of total land area),10.978
Bangladesh,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),43.6542
Bangladesh,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),43.6542
Barbados,2005,Land area (thousand hectares),43
Barbados,2005,Arable land (thousand hectares),13
Barbados,2005,Permanent crops (thousand hectares),1
Barbados,2005,Forest cover (thousand hectares),6.3
Barbados,2005,Arable land (% of total land area),30.2326
Barbados,2005,Permanent crops (% of total land area),2.3256
Barbados,2005,Forest cover (% of total land area),14.6512
Barbados,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0.1588
Barbados,2010,Land area (thousand hectares),43
Barbados,2010,Arable land (thousand hectares),12
Barbados,2010,Permanent crops (thousand hectares),1
Barbados,2010,Forest cover (thousand hectares),6.3
Barbados,2010,Arable land (% of total land area),27.907
Barbados,2010,Permanent crops (% of total land area),2.3256
Barbados,2010,Forest cover (% of total land area),14.6512
Barbados,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),0.1588
Barbados,2017,Land area (thousand hectares),43
Barbados,2017,Arable land (thousand hectares),7
Barbados,2017,Permanent crops (thousand hectares),1
Barbados,2017,Forest cover (thousand hectares),6.3
Barbados,2017,Arable land (% of total land area),16.2791
Barbados,2017,Permanent crops (% of total land area),2.3256
Barbados,2017,Forest cover (% of total land area),14.6512
Barbados,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),0.1588
Barbados,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),0.1588
Belarus,2005,Land area (thousand hectares),20283
Belarus,2005,Arable land (thousand hectares),5542
Belarus,2005,Permanent crops (thousand hectares),118
Belarus,2005,Forest cover (thousand hectares),8436
Belarus,2005,Arable land (% of total land area),27.3234
Belarus,2005,Permanent crops (% of total land area),0.5818
Belarus,2005,Forest cover (% of total land area),41.5915
Belarus,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),37.1708
Belarus,2010,Land area (thousand hectares),20290
Belarus,2010,Arable land (thousand hectares),5535
Belarus,2010,Permanent crops (thousand hectares),122
Belarus,2010,Forest cover (thousand hectares),8534
Belarus,2010,Arable land (% of total land area),27.2794
Belarus,2010,Permanent crops (% of total land area),0.6013
Belarus,2010,Forest cover (% of total land area),42.0601
Belarus,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),37.1708
Belarus,2017,Land area (thousand hectares),20299
Belarus,2017,Arable land (thousand hectares),5727
Belarus,2017,Permanent crops (thousand hectares),114
Belarus,2017,Forest cover (thousand hectares),8633.5
Belarus,2017,Arable land (% of total land area),28.2132
Belarus,2017,Permanent crops (% of total land area),0.5616
Belarus,2017,Forest cover (% of total land area),42.5317
Belarus,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),47.0848
Belarus,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),47.0848
Belgium,2005,Land area (thousand hectares),3028
Belgium,2005,Arable land (thousand hectares),843
Belgium,2005,Permanent crops (thousand hectares),21
Belgium,2005,Forest cover (thousand hectares),674.2
Belgium,2005,Arable land (% of total land area),27.8402
Belgium,2005,Permanent crops (% of total land area),0.6935
Belgium,2005,Forest cover (% of total land area),22.2655
Belgium,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),80.2625
Belgium,2010,Land area (thousand hectares),3028
Belgium,2010,Arable land (thousand hectares),834
Belgium,2010,Permanent crops (thousand hectares),21.7
Belgium,2010,Forest cover (thousand hectares),681.2
Belgium,2010,Arable land (% of total land area),27.5429
Belgium,2010,Permanent crops (% of total land area),0.7166
Belgium,2010,Forest cover (% of total land area),22.4967
Belgium,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),80.2787
Belgium,2017,Land area (thousand hectares),3028
Belgium,2017,Arable land (thousand hectares),836
Belgium,2017,Permanent crops (thousand hectares),23
Belgium,2017,Forest cover (thousand hectares),683.4
Belgium,2017,Arable land (% of total land area),27.609
Belgium,2017,Permanent crops (% of total land area),0.7596
Belgium,2017,Forest cover (% of total land area),22.5694
Belgium,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),83.6522
Belgium,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),84.153
Belize,2005,Land area (thousand hectares),2281
Belize,2005,Arable land (thousand hectares),70
Belize,2005,Permanent crops (thousand hectares),32
Belize,2005,Forest cover (thousand hectares),1416.53
Belize,2005,Arable land (% of total land area),3.0688
Belize,2005,Permanent crops (% of total land area),1.4029
Belize,2005,Forest cover (% of total land area),62.1013
Belize,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),39.3284
Belize,2010,Land area (thousand hectares),2281
Belize,2010,Arable land (thousand hectares),75
Belize,2010,Permanent crops (thousand hectares),32
Belize,2010,Forest cover (thousand hectares),1391.391
Belize,2010,Arable land (% of total land area),3.288
Belize,2010,Permanent crops (% of total land area),1.4029
Belize,2010,Forest cover (% of total land area),60.9992
Belize,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),39.3458
Belize,2017,Land area (thousand hectares),2281
Belize,2017,Arable land (thousand hectares),90
Belize,2017,Permanent crops (thousand hectares),32
Belize,2017,Forest cover (thousand hectares),1366.3
Belize,2017,Arable land (% of total land area),3.9456
Belize,2017,Permanent crops (% of total land area),1.4029
Belize,2017,Forest cover (% of total land area),59.8992
Belize,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),41.5195
Belize,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),41.5195
Benin,2005,Land area (thousand hectares),11276
Benin,2005,Arable land (thousand hectares),2654
Benin,2005,Permanent crops (thousand hectares),280
Benin,2005,Forest cover (thousand hectares),4811
Benin,2005,Arable land (% of total land area),23.5367
Benin,2005,Permanent crops (% of total land area),2.4832
Benin,2005,Forest cover (% of total land area),42.6658
Benin,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),66.6644
Benin,2010,Land area (thousand hectares),11276
Benin,2010,Arable land (thousand hectares),2500
Benin,2010,Permanent crops (thousand hectares),600
Benin,2010,Forest cover (thousand hectares),4561
Benin,2010,Arable land (% of total land area),22.171
Benin,2010,Permanent crops (% of total land area),5.321
Benin,2010,Forest cover (% of total land area),40.4487
Benin,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),66.6644
Benin,2017,Land area (thousand hectares),11276
Benin,2017,Arable land (thousand hectares),2800
Benin,2017,Permanent crops (thousand hectares),600
Benin,2017,Forest cover (thousand hectares),4311
Benin,2017,Arable land (% of total land area),24.8315
Benin,2017,Permanent crops (% of total land area),5.321
Benin,2017,Forest cover (% of total land area),38.2316
Benin,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),66.6644
Benin,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),66.6644
Bermuda,2005,Land area (thousand hectares),5.4
Bermuda,2005,Arable land (thousand hectares),0.4
Bermuda,2005,Forest cover (thousand hectares),1
Bermuda,2005,Arable land (% of total land area),7.4074
Bermuda,2005,Forest cover (% of total land area),18.5185
Bermuda,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),51.9841
Bermuda,2010,Land area (thousand hectares),5.4
Bermuda,2010,Arable land (thousand hectares),0.3
Bermuda,2010,Forest cover (thousand hectares),1
Bermuda,2010,Arable land (% of total land area),5.5556
Bermuda,2010,Forest cover (% of total land area),18.5185
Bermuda,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),51.9841
Bermuda,2017,Land area (thousand hectares),5.4
Bermuda,2017,Arable land (thousand hectares),0.3
Bermuda,2017,Forest cover (thousand hectares),1
Bermuda,2017,Arable land (% of total land area),5.5556
Bermuda,2017,Forest cover (% of total land area),18.5185
Bermuda,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),51.9841
Bermuda,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),51.9841
Bhutan,2005,Land area (thousand hectares),3811.7
Bhutan,2005,Arable land (thousand hectares),167
Bhutan,2005,Permanent crops (thousand hectares),19
Bhutan,2005,Forest cover (thousand hectares),2655.647
Bhutan,2005,Arable land (% of total land area),4.3812
Bhutan,2005,Permanent crops (% of total land area),0.4985
Bhutan,2005,Forest cover (% of total land area),69.6709
Bhutan,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),43.3184
Bhutan,2010,Land area (thousand hectares),3811.7
Bhutan,2010,Arable land (thousand hectares),100.6
Bhutan,2010,Permanent crops (thousand hectares),12.4
Bhutan,2010,Forest cover (thousand hectares),2705.291
Bhutan,2010,Arable land (% of total land area),2.6392
Bhutan,2010,Permanent crops (% of total land area),0.3253
Bhutan,2010,Forest cover (% of total land area),70.9733
Bhutan,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),45.769
Bhutan,2017,Land area (thousand hectares),3814.4
Bhutan,2017,Arable land (thousand hectares),100
Bhutan,2017,Permanent crops (thousand hectares),5.5
Bhutan,2017,Forest cover (thousand hectares),2754.935
Bhutan,2017,Arable land (% of total land area),2.6216
Bhutan,2017,Permanent crops (% of total land area),0.1442
Bhutan,2017,Forest cover (% of total land area),72.2246
Bhutan,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),47.3323
Bhutan,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),47.3323
Bolivia (Plurin. State of),2005,Land area (thousand hectares),108330
Bolivia (Plurin. State of),2005,Arable land (thousand hectares),3806
Bolivia (Plurin. State of),2005,Permanent crops (thousand hectares),199
Bolivia (Plurin. State of),2005,Forest cover (thousand hectares),58734
Bolivia (Plurin. State of),2005,Arable land (% of total land area),3.5133
Bolivia (Plurin. State of),2005,Permanent crops (% of total land area),0.1837
Bolivia (Plurin. State of),2005,Forest cover (% of total land area),54.2177
Bolivia (Plurin. State of),2005,Important sites for terrestrial biodiversity protected (% of total sites protected),46.564
Bolivia (Plurin. State of),2010,Land area (thousand hectares),108330
Bolivia (Plurin. State of),2010,Arable land (thousand hectares),4297
Bolivia (Plurin. State of),2010,Permanent crops (thousand hectares),219
Bolivia (Plurin. State of),2010,Forest cover (thousand hectares),56209
Bolivia (Plurin. State of),2010,Arable land (% of total land area),3.9666
Bolivia (Plurin. State of),2010,Permanent crops (% of total land area),0.2022
Bolivia (Plurin. State of),2010,Forest cover (% of total land area),51.8868
Bolivia (Plurin. State of),2010,Important sites for terrestrial biodiversity protected (% of total sites protected),48.2763
Bolivia (Plurin. State of),2017,Land area (thousand hectares),108330
Bolivia (Plurin. State of),2017,Arable land (thousand hectares),4241
Bolivia (Plurin. State of),2017,Permanent crops (thousand hectares),247
Bolivia (Plurin. State of),2017,Forest cover (thousand hectares),54764
Bolivia (Plurin. State of),2017,Arable land (% of total land area),3.9149
Bolivia (Plurin. State of),2017,Permanent crops (% of total land area),0.228
Bolivia (Plurin. State of),2017,Forest cover (% of total land area),50.5529
Bolivia (Plurin. State of),2017,Important sites for terrestrial biodiversity protected (% of total sites protected),48.2763
Bolivia (Plurin. State of),2019,Important sites for terrestrial biodiversity protected (% of total sites protected),48.2763
"Bonaire, St. Eustatius & Saba",2005,Important sites for terrestrial biodiversity protected (% of total sites protected),39.2648
"Bonaire, St. Eustatius & Saba",2010,Important sites for terrestrial biodiversity protected (% of total sites protected),39.2648
"Bonaire, St. Eustatius & Saba",2019,Important sites for terrestrial biodiversity protected (% of total sites protected),39.2648
Bosnia and Herzegovina,2005,Land area (thousand hectares),5120
Bosnia and Herzegovina,2005,Arable land (thousand hectares),1025
Bosnia and Herzegovina,2005,Permanent crops (thousand hectares),95
Bosnia and Herzegovina,2005,Forest cover (thousand hectares),2185
Bosnia and Herzegovina,2005,Arable land (% of total land area),20.0195
Bosnia and Herzegovina,2005,Permanent crops (% of total land area),1.8555
Bosnia and Herzegovina,2005,Forest cover (% of total land area),42.6758
Bosnia and Herzegovina,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0
Bosnia and Herzegovina,2010,Land area (thousand hectares),5120
Bosnia and Herzegovina,2010,Arable land (thousand hectares),1004
Bosnia and Herzegovina,2010,Permanent crops (thousand hectares),105
Bosnia and Herzegovina,2010,Forest cover (thousand hectares),2185
Bosnia and Herzegovina,2010,Arable land (% of total land area),19.6094
Bosnia and Herzegovina,2010,Permanent crops (% of total land area),2.0508
Bosnia and Herzegovina,2010,Forest cover (% of total land area),42.6758
Bosnia and Herzegovina,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),18.1818
Bosnia and Herzegovina,2017,Land area (thousand hectares),5120
Bosnia and Herzegovina,2017,Arable land (thousand hectares),1060
Bosnia and Herzegovina,2017,Permanent crops (thousand hectares),107
Bosnia and Herzegovina,2017,Forest cover (thousand hectares),2185
Bosnia and Herzegovina,2017,Arable land (% of total land area),20.7031
Bosnia and Herzegovina,2017,Permanent crops (% of total land area),2.0898
Bosnia and Herzegovina,2017,Forest cover (% of total land area),42.6758
Bosnia and Herzegovina,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),18.1818
Bosnia and Herzegovina,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),18.1818
Botswana,2005,Land area (thousand hectares),56673
Botswana,2005,Arable land (thousand hectares),240
Botswana,2005,Permanent crops (thousand hectares),1.5
Botswana,2005,Forest cover (thousand hectares),11943
Botswana,2005,Arable land (% of total land area),0.4235
Botswana,2005,Permanent crops (% of total land area),0.0026
Botswana,2005,Forest cover (% of total land area),21.0735
Botswana,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),51.0878
Botswana,2010,Land area (thousand hectares),56673
Botswana,2010,Arable land (thousand hectares),259
Botswana,2010,Permanent crops (thousand hectares),2
Botswana,2010,Forest cover (thousand hectares),11351
Botswana,2010,Arable land (% of total land area),0.457
Botswana,2010,Permanent crops (% of total land area),0.0035
Botswana,2010,Forest cover (% of total land area),20.0289
Botswana,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),51.0878
Botswana,2017,Land area (thousand hectares),56673
Botswana,2017,Arable land (thousand hectares),257.8
Botswana,2017,Permanent crops (thousand hectares),2
Botswana,2017,Forest cover (thousand hectares),10840
Botswana,2017,Arable land (% of total land area),0.4549
Botswana,2017,Permanent crops (% of total land area),0.0035
Botswana,2017,Forest cover (% of total land area),19.1273
Botswana,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),51.0879
Botswana,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),51.0879
Brazil,2005,Land area (thousand hectares),835814
Brazil,2005,Arable land (thousand hectares),48333
Brazil,2005,Permanent crops (thousand hectares),11302
Brazil,2005,Forest cover (thousand hectares),506734
Brazil,2005,Arable land (% of total land area),5.7827
Brazil,2005,Permanent crops (% of total land area),1.3522
Brazil,2005,Forest cover (% of total land area),60.6276
Brazil,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),37.4866
Brazil,2010,Land area (thousand hectares),835814
Brazil,2010,Arable land (thousand hectares),51254
Brazil,2010,Permanent crops (thousand hectares),10335
Brazil,2010,Forest cover (thousand hectares),498458
Brazil,2010,Arable land (% of total land area),6.1322
Brazil,2010,Permanent crops (% of total land area),1.2365
Brazil,2010,Forest cover (% of total land area),59.6374
Brazil,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),41.9644
Brazil,2017,Land area (thousand hectares),835814
Brazil,2017,Arable land (thousand hectares),55384.06
Brazil,2017,Permanent crops (thousand hectares),7982
Brazil,2017,Forest cover (thousand hectares),493538
Brazil,2017,Arable land (% of total land area),6.6264
Brazil,2017,Permanent crops (% of total land area),0.955
Brazil,2017,Forest cover (% of total land area),59.0488
Brazil,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),42.6927
Brazil,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),42.759
British Virgin Islands,2005,Land area (thousand hectares),15
British Virgin Islands,2005,Arable land (thousand hectares),1
British Virgin Islands,2005,Permanent crops (thousand hectares),1
British Virgin Islands,2005,Forest cover (thousand hectares),3.66
British Virgin Islands,2005,Arable land (% of total land area),6.6667
British Virgin Islands,2005,Permanent crops (% of total land area),6.6667
British Virgin Islands,2005,Forest cover (% of total land area),24.4
British Virgin Islands,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),10.5188
British Virgin Islands,2010,Land area (thousand hectares),15
British Virgin Islands,2010,Arable land (thousand hectares),1
British Virgin Islands,2010,Permanent crops (thousand hectares),1
British Virgin Islands,2010,Forest cover (thousand hectares),3.64
British Virgin Islands,2010,Arable land (% of total land area),6.6667
British Virgin Islands,2010,Permanent crops (% of total land area),6.6667
British Virgin Islands,2010,Forest cover (% of total land area),24.2667
British Virgin Islands,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),10.5188
British Virgin Islands,2017,Land area (thousand hectares),15
British Virgin Islands,2017,Arable land (thousand hectares),1
British Virgin Islands,2017,Permanent crops (thousand hectares),1
British Virgin Islands,2017,Forest cover (thousand hectares),3.62
British Virgin Islands,2017,Arable land (% of total land area),6.6667
British Virgin Islands,2017,Permanent crops (% of total land area),6.6667
British Virgin Islands,2017,Forest cover (% of total land area),24.1333
British Virgin Islands,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),10.5188
British Virgin Islands,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),10.5188
Brunei Darussalam,2005,Land area (thousand hectares),527
Brunei Darussalam,2005,Arable land (thousand hectares),2
Brunei Darussalam,2005,Permanent crops (thousand hectares),5
Brunei Darussalam,2005,Forest cover (thousand hectares),389
Brunei Darussalam,2005,Arable land (% of total land area),0.3795
Brunei Darussalam,2005,Permanent crops (% of total land area),0.9488
Brunei Darussalam,2005,Forest cover (% of total land area),73.814
Brunei Darussalam,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),41.6568
Brunei Darussalam,2010,Land area (thousand hectares),527
Brunei Darussalam,2010,Arable land (thousand hectares),4
Brunei Darussalam,2010,Permanent crops (thousand hectares),6
Brunei Darussalam,2010,Forest cover (thousand hectares),380
Brunei Darussalam,2010,Arable land (% of total land area),0.759
Brunei Darussalam,2010,Permanent crops (% of total land area),1.1385
Brunei Darussalam,2010,Forest cover (% of total land area),72.1063
Brunei Darussalam,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),41.6568
Brunei Darussalam,2017,Land area (thousand hectares),527
Brunei Darussalam,2017,Arable land (thousand hectares),5
Brunei Darussalam,2017,Permanent crops (thousand hectares),6
Brunei Darussalam,2017,Forest cover (thousand hectares),380
Brunei Darussalam,2017,Arable land (% of total land area),0.9488
Brunei Darussalam,2017,Permanent crops (% of total land area),1.1385
Brunei Darussalam,2017,Forest cover (% of total land area),72.1063
Brunei Darussalam,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),41.6568
Brunei Darussalam,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),41.6568
Bulgaria,2005,Land area (thousand hectares),10864
Bulgaria,2005,Arable land (thousand hectares),3173
Bulgaria,2005,Permanent crops (thousand hectares),188
Bulgaria,2005,Forest cover (thousand hectares),3651
Bulgaria,2005,Arable land (% of total land area),29.2066
Bulgaria,2005,Permanent crops (% of total land area),1.7305
Bulgaria,2005,Forest cover (% of total land area),33.6064
Bulgaria,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),27.7882
Bulgaria,2010,Land area (thousand hectares),10856
Bulgaria,2010,Arable land (thousand hectares),3186
Bulgaria,2010,Permanent crops (thousand hectares),164
Bulgaria,2010,Forest cover (thousand hectares),3737
Bulgaria,2010,Arable land (% of total land area),29.3478
Bulgaria,2010,Permanent crops (% of total land area),1.5107
Bulgaria,2010,Forest cover (% of total land area),34.4234
Bulgaria,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),87.498
Bulgaria,2017,Land area (thousand hectares),10856
Bulgaria,2017,Arable land (thousand hectares),3489.08
Bulgaria,2017,Permanent crops (thousand hectares),148.09
Bulgaria,2017,Forest cover (thousand hectares),3823
Bulgaria,2017,Arable land (% of total land area),32.1396
Bulgaria,2017,Permanent crops (% of total land area),1.3641
Bulgaria,2017,Forest cover (% of total land area),35.2155
Bulgaria,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),87.5023
Bulgaria,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),87.5023
Burkina Faso,2005,Land area (thousand hectares),27360
Burkina Faso,2005,Arable land (thousand hectares),4900
Burkina Faso,2005,Permanent crops (thousand hectares),70
Burkina Faso,2005,Forest cover (thousand hectares),5949
Burkina Faso,2005,Arable land (% of total land area),17.9094
Burkina Faso,2005,Permanent crops (% of total land area),0.2558
Burkina Faso,2005,Forest cover (% of total land area),21.7434
Burkina Faso,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),66.7121
Burkina Faso,2010,Land area (thousand hectares),27360
Burkina Faso,2010,Arable land (thousand hectares),6000
Burkina Faso,2010,Permanent crops (thousand hectares),80
Burkina Faso,2010,Forest cover (thousand hectares),5649
Burkina Faso,2010,Arable land (% of total land area),21.9298
Burkina Faso,2010,Permanent crops (% of total land area),0.2924
Burkina Faso,2010,Forest cover (% of total land area),20.6469
Burkina Faso,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),66.7121
Burkina Faso,2017,Land area (thousand hectares),27360
Burkina Faso,2017,Arable land (thousand hectares),6000
Burkina Faso,2017,Permanent crops (thousand hectares),100
Burkina Faso,2017,Forest cover (thousand hectares),5350
Burkina Faso,2017,Arable land (% of total land area),21.9298
Burkina Faso,2017,Permanent crops (% of total land area),0.3655
Burkina Faso,2017,Forest cover (% of total land area),19.5541
Burkina Faso,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),66.7121
Burkina Faso,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),66.7121
Burundi,2005,Land area (thousand hectares),2568
Burundi,2005,Arable land (thousand hectares),956
Burundi,2005,Permanent crops (thousand hectares),380
Burundi,2005,Forest cover (thousand hectares),181
Burundi,2005,Arable land (% of total land area),37.2274
Burundi,2005,Permanent crops (% of total land area),14.7975
Burundi,2005,Forest cover (% of total land area),7.0483
Burundi,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),56.8318
Burundi,2010,Land area (thousand hectares),2568
Burundi,2010,Arable land (thousand hectares),950
Burundi,2010,Permanent crops (thousand hectares),400
Burundi,2010,Forest cover (thousand hectares),253
Burundi,2010,Arable land (% of total land area),36.9938
Burundi,2010,Permanent crops (% of total land area),15.5763
Burundi,2010,Forest cover (% of total land area),9.852
Burundi,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),56.8318
